unit_id,time,month,region,urban,treated,post,treatment,consumption,treat_time_0,treat_time_1,treat_time_2,treat_time_3,treat_time_5,treat_time_6,treat_time_7,treat_time_8,treat_time_9,treat_time_10,treat_time_11
0,0,2020-01,부산,0,0,0,0,82.04871286932716,0,0,0,0,0,0,0,0,0,0,0
0,1,2020-02,부산,0,0,0,0,97.9957455645029,0,0,0,0,0,0,0,0,0,0,0
0,2,2020-03,부산,0,0,0,0,69.7617633010898,0,0,0,0,0,0,0,0,0,0,0
0,3,2020-04,부산,0,0,0,0,80.44108986611973,0,0,0,0,0,0,0,0,0,0,0
0,4,2020-05,부산,0,0,0,0,64.64310450254493,0,0,0,0,0,0,0,0,0,0,0
0,5,2020-06,부산,0,0,1,0,59.48626798713251,0,0,0,0,0,0,0,0,0,0,0
0,6,2020-07,부산,0,0,1,0,63.39173122308508,0,0,0,0,0,0,0,0,0,0,0
0,7,2020-08,부산,0,0,1,0,69.42865167492187,0,0,0,0,0,0,0,0,0,0,0
0,8,2020-09,부산,0,0,1,0,39.45906624416615,0,0,0,0,0,0,0,0,0,0,0
0,9,2020-10,부산,0,0,1,0,56.0198419608013,0,0,0,0,0,0,0,0,0,0,0
0,10,2020-11,부산,0,0,1,0,64.0685616835838,0,0,0,0,0,0,0,0,0,0,0
0,11,2020-12,부산,0,0,1,0,84.40648149028516,0,0,0,0,0,0,0,0,0,0,0
1,0,2020-01,경기,1,1,0,0,72.41498611317861,1,0,0,0,0,0,0,0,0,0,0
1,1,2020-02,경기,1,1,0,0,81.5491869599511,0,1,0,0,0,0,0,0,0,0,0
1,2,2020-03,경기,1,1,0,0,54.952245040249835,0,0,1,0,0,0,0,0,0,0,0
1,3,2020-04,경기,1,1,0,0,67.94236120661773,0,0,0,1,0,0,0,0,0,0,0
1,4,2020-05,경기,1,1,0,0,71.0721354376907,0,0,0,0,0,0,0,0,0,0,0
1,5,2020-06,경기,1,1,1,1,74.93671738111442,0,0,0,0,1,0,0,0,0,0,0
1,6,2020-07,경기,1,1,1,1,100.4647656320361,0,0,0,0,0,1,0,0,0,0,0
1,7,2020-08,경기,1,1,1,1,87.20114790451697,0,0,0,0,0,0,1,0,0,0,0
1,8,2020-09,경기,1,1,1,1,83.53211451165987,0,0,0,0,0,0,0,1,0,0,0
1,9,2020-10,경기,1,1,1,1,82.54787216320521,0,0,0,0,0,0,0,0,1,0,0
1,10,2020-11,경기,1,1,1,1,105.0594588507895,0,0,0,0,0,0,0,0,0,1,0
1,11,2020-12,경기,1,1,1,1,92.94211768965818,0,0,0,0,0,0,0,0,0,0,1
2,0,2020-01,경기,1,1,0,0,111.90523001645344,1,0,0,0,0,0,0,0,0,0,0
2,1,2020-02,경기,1,1,0,0,134.79942313498609,0,1,0,0,0,0,0,0,0,0,0
2,2,2020-03,경기,1,1,0,0,96.24263713022276,0,0,1,0,0,0,0,0,0,0,0
2,3,2020-04,경기,1,1,0,0,99.16816350859783,0,0,0,1,0,0,0,0,0,0,0
2,4,2020-05,경기,1,1,0,0,109.85771249245225,0,0,0,0,0,0,0,0,0,0,0
2,5,2020-06,경기,1,1,1,1,118.8902305056089,0,0,0,0,1,0,0,0,0,0,0
2,6,2020-07,경기,1,1,1,1,127.93933176017718,0,0,0,0,0,1,0,0,0,0,0
2,7,2020-08,경기,1,1,1,1,110.18168582531864,0,0,0,0,0,0,1,0,0,0,0
2,8,2020-09,경기,1,1,1,1,112.93896737822597,0,0,0,0,0,0,0,1,0,0,0
2,9,2020-10,경기,1,1,1,1,138.2658724363697,0,0,0,0,0,0,0,0,1,0,0
2,10,2020-11,경기,1,1,1,1,123.31729729933123,0,0,0,0,0,0,0,0,0,1,0
2,11,2020-12,경기,1,1,1,1,120.46516009068722,0,0,0,0,0,0,0,0,0,0,1
3,0,2020-01,기타,0,0,0,0,93.4468721754327,0,0,0,0,0,0,0,0,0,0,0
3,1,2020-02,기타,0,0,0,0,113.02240684748419,0,0,0,0,0,0,0,0,0,0,0
3,2,2020-03,기타,0,0,0,0,63.031652273053936,0,0,0,0,0,0,0,0,0,0,0
3,3,2020-04,기타,0,0,0,0,106.41046856179702,0,0,0,0,0,0,0,0,0,0,0
3,4,2020-05,기타,0,0,0,0,68.52238988960369,0,0,0,0,0,0,0,0,0,0,0
3,5,2020-06,기타,0,0,1,0,78.49057178835486,0,0,0,0,0,0,0,0,0,0,0
3,6,2020-07,기타,0,0,1,0,63.99668634986783,0,0,0,0,0,0,0,0,0,0,0
3,7,2020-08,기타,0,0,1,0,61.50407801934038,0,0,0,0,0,0,0,0,0,0,0
3,8,2020-09,기타,0,0,1,0,78.80060481188539,0,0,0,0,0,0,0,0,0,0,0
3,9,2020-10,기타,0,0,1,0,80.58025122373256,0,0,0,0,0,0,0,0,0,0,0
3,10,2020-11,기타,0,0,1,0,94.14975092262151,0,0,0,0,0,0,0,0,0,0,0
3,11,2020-12,기타,0,0,1,0,88.72266888859694,0,0,0,0,0,0,0,0,0,0,0
4,0,2020-01,대구,0,0,0,0,91.87811712120943,0,0,0,0,0,0,0,0,0,0,0
4,1,2020-02,대구,0,0,0,0,95.51928170025624,0,0,0,0,0,0,0,0,0,0,0
4,2,2020-03,대구,0,0,0,0,68.37969219311256,0,0,0,0,0,0,0,0,0,0,0
4,3,2020-04,대구,0,0,0,0,55.60056126033637,0,0,0,0,0,0,0,0,0,0,0
4,4,2020-05,대구,0,0,0,0,73.70952335489359,0,0,0,0,0,0,0,0,0,0,0
4,5,2020-06,대구,0,0,1,0,60.25864616991034,0,0,0,0,0,0,0,0,0,0,0
4,6,2020-07,대구,0,0,1,0,44.4237090591707,0,0,0,0,0,0,0,0,0,0,0
4,7,2020-08,대구,0,0,1,0,48.641061655615864,0,0,0,0,0,0,0,0,0,0,0
4,8,2020-09,대구,0,0,1,0,41.075063408424725,0,0,0,0,0,0,0,0,0,0,0
4,9,2020-10,대구,0,0,1,0,63.37745545540612,0,0,0,0,0,0,0,0,0,0,0
4,10,2020-11,대구,0,0,1,0,69.43195199368922,0,0,0,0,0,0,0,0,0,0,0
4,11,2020-12,대구,0,0,1,0,52.9631549298591,0,0,0,0,0,0,0,0,0,0,0
5,0,2020-01,기타,0,0,0,0,83.00675583623428,0,0,0,0,0,0,0,0,0,0,0
5,1,2020-02,기타,0,0,0,0,77.51303098512317,0,0,0,0,0,0,0,0,0,0,0
5,2,2020-03,기타,0,0,0,0,70.67510394016873,0,0,0,0,0,0,0,0,0,0,0
5,3,2020-04,기타,0,0,0,0,64.73046529928264,0,0,0,0,0,0,0,0,0,0,0
5,4,2020-05,기타,0,0,0,0,94.94487771149946,0,0,0,0,0,0,0,0,0,0,0
5,5,2020-06,기타,0,0,1,0,88.24257408970306,0,0,0,0,0,0,0,0,0,0,0
5,6,2020-07,기타,0,0,1,0,86.88124760908731,0,0,0,0,0,0,0,0,0,0,0
5,7,2020-08,기타,0,0,1,0,71.06213241240711,0,0,0,0,0,0,0,0,0,0,0
5,8,2020-09,기타,0,0,1,0,76.55958965695964,0,0,0,0,0,0,0,0,0,0,0
5,9,2020-10,기타,0,0,1,0,64.00793621185585,0,0,0,0,0,0,0,0,0,0,0
5,10,2020-11,기타,0,0,1,0,80.24208461186537,0,0,0,0,0,0,0,0,0,0,0
5,11,2020-12,기타,0,0,1,0,88.24229513386693,0,0,0,0,0,0,0,0,0,0,0
6,0,2020-01,부산,0,0,0,0,54.858565975179744,0,0,0,0,0,0,0,0,0,0,0
6,1,2020-02,부산,0,0,0,0,92.26748514934997,0,0,0,0,0,0,0,0,0,0,0
6,2,2020-03,부산,0,0,0,0,68.86762841775808,0,0,0,0,0,0,0,0,0,0,0
6,3,2020-04,부산,0,0,0,0,58.69309724737702,0,0,0,0,0,0,0,0,0,0,0
6,4,2020-05,부산,0,0,0,0,46.97199716562092,0,0,0,0,0,0,0,0,0,0,0
6,5,2020-06,부산,0,0,1,0,43.07699009892152,0,0,0,0,0,0,0,0,0,0,0
6,6,2020-07,부산,0,0,1,0,38.721966776431344,0,0,0,0,0,0,0,0,0,0,0
6,7,2020-08,부산,0,0,1,0,40.56304835447229,0,0,0,0,0,0,0,0,0,0,0
6,8,2020-09,부산,0,0,1,0,43.65376226470736,0,0,0,0,0,0,0,0,0,0,0
6,9,2020-10,부산,0,0,1,0,46.306472451720886,0,0,0,0,0,0,0,0,0,0,0
6,10,2020-11,부산,0,0,1,0,55.651982188118964,0,0,0,0,0,0,0,0,0,0,0
6,11,2020-12,부산,0,0,1,0,49.48191781370041,0,0,0,0,0,0,0,0,0,0,0
7,0,2020-01,부산,0,0,0,0,89.75699080602266,0,0,0,0,0,0,0,0,0,0,0
7,1,2020-02,부산,0,0,0,0,98.39783225279297,0,0,0,0,0,0,0,0,0,0,0
7,2,2020-03,부산,0,0,0,0,78.54021760086765,0,0,0,0,0,0,0,0,0,0,0
7,3,2020-04,부산,0,0,0,0,75.56317055799329,0,0,0,0,0,0,0,0,0,0,0
7,4,2020-05,부산,0,0,0,0,104.32788446710451,0,0,0,0,0,0,0,0,0,0,0
7,5,2020-06,부산,0,0,1,0,99.94359812147016,0,0,0,0,0,0,0,0,0,0,0
7,6,2020-07,부산,0,0,1,0,94.51392978239892,0,0,0,0,0,0,0,0,0,0,0
7,7,2020-08,부산,0,0,1,0,66.56071317349821,0,0,0,0,0,0,0,0,0,0,0
7,8,2020-09,부산,0,0,1,0,92.03913325673216,0,0,0,0,0,0,0,0,0,0,0
7,9,2020-10,부산,0,0,1,0,74.88983089898635,0,0,0,0,0,0,0,0,0,0,0
